"","Rating","Review","reviewDate","rating_year"
"11",10,"Really classic Magnificent portrait of organized crime A must see gangster movie","2018-12-11",2018
"12",10,"A masterpiece You should watch it Incredible actors incredible story incredible movie","2018-11-30",2018
"13",9,"This is a masterpiece A timeless masterpiece Initially I didn t like this film all that much I found it rather over hyped and boring This was until the advent of DVD which gave me the feature I needed for this sort of film subtitles This is a masterpiece A timeless masterpiece Initially I didn t like this film all that much I found it rather over hyped and boring This was until the advent of DVD which gave me the feature I needed for this sort of film subtitles Once I switched them on and heard read every last word of Brando s ramblings and other characters ramblings I grew a true appreciation for this epic Robert Hamparyan275 W Market St 1000San Diego CA 92101 619 550 1355 Expand","2018-11-20",2018
"14",10,"There is a 75 character minimum for reviews If your review contains spoilers please check the Spoiler box Please do not use ALL CAPS There is no linking or other HTML allowed Your review may be edited for content","2018-10-30",2018
"15",10,"My score 100Metascore User score 100 92Tomatometer Audience score 98 98IMDB 92 96 8","2018-10-02",2018
"16",1,"Vito Corleone doesn t make bacon while he s dancing to the safety dance I hope you r happy Coppola you fanfic ruining dick","2018-09-30",2018
"17",10,"<U+0625><U+0646><U+0647><U+0627> <U+0627><U+0644><U+062A><U+062D><U+0641><U+0629> <U+0627><U+0644><U+0633><U+064A><U+0646><U+0645><U+0627><U+0626><U+064A><U+0629> <U+0627><U+0644><U+062E><U+0627><U+0644><U+062F><U+0629><U+0628><U+0627><U+0639><U+062A><U+0642><U+0627><U+062F><U+064A> <U+0623><U+0646> <U+0631><U+0648><U+0639><U+0629> <U+0647><U+0630><U+0627> <U+0627><U+0644><U+0641><U+064A><U+0644><U+0645> <U+0648><U+0628><U+0642><U+0633><U+0645><U+0647> <U+0627><U+0644><U+0623><U+0648><U+0644> <U+0628><U+0627><U+0644><U+0630><U+0627><U+062A> <U+062A><U+062A><U+062C><U+0633><U+062F> <U+0644><U+064A><U+0633> <U+0628><U+0627><U+0644><U+0642><U+0635><U+0629> <U+0641><U+0642><U+0637> <U+0628><U+0644> <U+0628><U+0627><U+0644><U+0623><U+062F><U+0627><U+0621> <U+0627><U+0644><U+0639><U+0628><U+0642><U+0631><U+064A> <U+0648><U+0628><U+0627><U+0644><U+0623><U+062E><U+0635> <U+0644><U+062F><U+0649> <U+0627><U+0644><U+062F><U+0648><U+0646> <U+0643><U+0627><U+0631><U+0648><U+0644><U+064A><U+0648><U+0646><U+064A> <U+0645><U+0627><U+0631><U+0644><U+0648><U+0646> <U+0628><U+0631><U+0627><U+0646><U+062F><U+0648> <U+062A><U+0644><U+0643> <U+0627><U+0644><U+0634><U+062E><U+0635><U+064A><U+0629> <U+0627><U+0644><U+062C><U+0630><U+0631><U+064A><U+0629> <U+0648><U+0627><U+0644><U+0628><U+0631><U+063A><U+0645><U+0627><U+062A><U+064A><U+0629> <U+0641><U+064A> <U+062D><U+0645><U+0627><U+064A><U+0629> <U+0645><U+0635><U+0627><U+0644><U+062D><U+0647><U+0627> <U+0648><U+0628><U+0630><U+0627><U+062A> <U+0627><U+0644><U+0648><U+0642><U+062A> <U+0623><U+062E><U+0644><U+0627><U+0642><U+064A><U+062A><U+0647><U+0627> <U+0627><U+0644><U+0639><U+0645><U+0644><U+064A><U+0629><U+0625><U+0646><U+0647><U+0627> <U+0627><U+0644><U+062A><U+062D><U+0641><U+0629> <U+0627><U+0644><U+0633><U+064A><U+0646><U+0645><U+0627><U+0626><U+064A><U+0629> <U+0627><U+0644><U+062E><U+0627><U+0644><U+062F><U+0629><U+0628><U+0627><U+0639><U+062A><U+0642><U+0627><U+062F><U+064A> <U+0623><U+0646> <U+0631><U+0648><U+0639><U+0629> <U+0647><U+0630><U+0627> <U+0627><U+0644><U+0641><U+064A><U+0644><U+0645> <U+0648><U+0628><U+0642><U+0633><U+0645><U+0647> <U+0627><U+0644><U+0623><U+0648><U+0644> <U+0628><U+0627><U+0644><U+0630><U+0627><U+062A> <U+062A><U+062A><U+062C><U+0633><U+062F> <U+0644><U+064A><U+0633> <U+0628><U+0627><U+0644><U+0642><U+0635><U+0629> <U+0641><U+0642><U+0637> <U+0628><U+0644> <U+0628><U+0627><U+0644><U+0623><U+062F><U+0627><U+0621> <U+0627><U+0644><U+0639><U+0628><U+0642><U+0631><U+064A> <U+0648><U+0628><U+0627><U+0644><U+0623><U+062E><U+0635> <U+0644><U+062F><U+0649> <U+0627><U+0644><U+062F><U+0648><U+0646> <U+0643><U+0627><U+0631><U+0648><U+0644><U+064A><U+0648><U+0646><U+064A> <U+0645><U+0627><U+0631><U+0644><U+0648><U+0646> <U+0628><U+0631><U+0627><U+0646><U+062F><U+0648> <U+062A><U+0644><U+0643> <U+0627><U+0644><U+0634><U+062E><U+0635><U+064A><U+0629> <U+0627><U+0644><U+062C><U+0630><U+0631><U+064A><U+0629> <U+0648><U+0627><U+0644><U+0628><U+0631><U+063A><U+0645><U+0627><U+062A><U+064A><U+0629> <U+0641><U+064A> <U+062D><U+0645><U+0627><U+064A><U+0629> <U+0645><U+0635><U+0627><U+0644><U+062D><U+0647><U+0627> <U+0648><U+0628><U+0630><U+0627><U+062A> <U+0627><U+0644><U+0648><U+0642><U+062A> <U+0623><U+062E><U+0644><U+0627><U+0642><U+064A><U+062A><U+0647><U+0627> <U+0627><U+0644><U+0639><U+0645><U+0644><U+064A><U+0629> <U+0648><U+0631><U+0627><U+062F><U+064A><U+0643><U+0627><U+0644><U+062A><U+0647><U+0627> <U+0627><U+0644><U+0637><U+0628><U+0642><U+064A><U+0651><U+0629> <U+0630><U+0644><U+0643> <U+0627><U+0644><U+062A><U+0646><U+0627><U+0642><U+0636> <U+0627><U+0644><U+0634><U+062F><U+064A><U+062F> <U+0628><U+0634><U+062E><U+0635><U+064A><U+0629> <U+0643><U+0627><U+0631><U+0648><U+0644><U+064A><U+0648><U+0646><U+064A> <U+062C><U+0639><U+0644> <U+0627><U+0644><U+0641><U+064A><U+0644><U+0645> <U+0643><U+0643><U+0644> <U+0642><U+0648><U+0645> <U+0639><U+0644><U+0649> <U+0645><U+0639><U+0627><U+062F><U+0644><U+0627><U+062A> <U+0627><U+0644><U+0627><U+0646><U+063A><U+0645><U+0627><U+0633> <U+0628><U+0627><U+0644><U+0634><U+0631> <U+0643><U+0642><U+064A><U+0645><U+0629> <U+062B><U+0648><U+0631><U+064A><U+0629> <U+062A><U+062D><U+062F><U+062F> <U+0645><U+0641><U+0647><U+0648><U+0645> <U+0627><U+0644><U+0639><U+062F><U+0627><U+0644><U+0629> <U+0628><U+0637><U+0631><U+064A><U+0642><U+0629> <U+062E><U+0627><U+0635><U+0629> <U+0627><U+0644><U+0641><U+064A><U+0644><U+0645> <U+0628><U+0623><U+0643><U+0645><U+0644><U+0647> <U+064A><U+0642><U+0648><U+0645> <U+0639><U+0649> <U+0647><U+0630><U+0627> <U+0627><U+0644><U+062D><U+0627><U+0645><U+0644> <U+0627><U+0644><U+0642><U+064A><U+0645><U+064A> <U+0648><U+0647><U+0648> <U+0645><U+0646> <U+0623><U+0645><U+062A><U+0639> <U+0627><U+0644><U+0637><U+0631><U+0648><U+062D><U+0627><U+062A> <U+0627><U+0644><U+0641><U+0643><U+0631><U+064A><U+0629> <U+0648><U+0627><U+0644><U+0623><U+062F><U+0627><U+0626><U+064A><U+0629> <U+0641><U+064A> <U+062A><U+0627><U+0631><U+064A><U+062E> <U+0627><U+0644><U+0633><U+064A><U+0646><U+0645><U+0627> Expand","2018-09-11",2018
"18",0,"This movie does not deserve a perfect score It s a boring overrated movie seriously how can anyone understand what Brando is saying with all that cotton wool in his mouth let alone get away with it he must have been laughing all the wayThis movie does not deserve a perfect score It s a boring overrated movie seriously how can anyone understand what Brando is saying with all that cotton wool in his mouth let alone get away with it he must have been laughing all the way to the bank and taking the p ss out of everyone with this movie Expand","2018-08-09",2018
"19",10,"Marlon Brando Al Pacino and others make this the movie with the best acting in history The length of the movie might throw you off especially for more inexperienced movie watchers but trust me you will love every second of this masterpiece","2018-08-08",2018
"20",0,"it sucks and it is really bad 99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999","2018-08-04",2018
"21",10,"The best cast in the history the best original score in the history and the best movie of the history Long Life to The Godfather","2018-08-01",2018
"22",10,"What is there to say that hasn t been said It s a masterpiece Perfectly acted shot and edited taking its time to tell you a story that demands your attention","2018-07-25",2018
"23",10,"This really is one of the greatest movies of all time hands down The performances of the actors the plot scenery music Everything ties together in this epic epic movie Anyone who has some form of sense and a love for cinema would loveThis really is one of the greatest movies of all time hands down The performances of the actors the plot scenery music Everything ties together in this epic epic movie Anyone who has some form of sense and a love for cinema would love this movie Engaging from the first scene to the last the only movie in the world that is equal to this or even better is the Godfather part 2 If I could I would give this movie more then a ten Expand","2018-07-16",2018
"24",10,"One of the best movies of all time perhaps the best Such a emotional history such a killer cast an epic movie start to end","2018-07-10",2018
"25",5,"The Movie of The Godfather delivers a very cliche and overall sadistic message to all those who decide to watch it Either way I recommend this film for people looking for a good and unusual drama film","2018-07-07",2018
"26",10,"As soon as people heard that Francis Ford Coppola was going to make the classic bestselling novel The Godfather into a movie we already knew that a classic was imminent and boy did it deliver It truly shows people dangerous those daysAs soon as people heard that Francis Ford Coppola was going to make the classic bestselling novel The Godfather into a movie we already knew that a classic was imminent and boy did it deliver It truly shows people dangerous those days were with the Mafia in charge And the performances of the cast was immensely terrific Marlon Brando and Al Pacino for example were two of the best The Godfather is and will always be Francis Ford Coppola s masterpiece Expand","2018-06-30",2018
"27",10,"everything is matched for a movie as screenplay cinematography best stars marlon brando Al pacino and specially coppola","2018-03-31",2018
"28",10,"Nejlepší film co jsem kdy videl Výborné výkony hercu skvélá kamera strich a mnoho dalšího Co bych mel ješte dodávat Zkrátka hodnocení mluví za vše","2018-03-24",2018
"29",10,"Yang kasih rate 0 3 berarti sengaja menjatuhkan karya orang lain lu pikir bikin film itu mudah lu pikir penilaian sebuah film bagus atau tidak cuma dinilai dari plot nya ceritanya saja misalnya kalo mau kontribusi kasih rate yangYang kasih rate 0 3 berarti sengaja menjatuhkan karya orang lain lu pikir bikin film itu mudah lu pikir penilaian sebuah film bagus atau tidak cuma dinilai dari plot nya ceritanya saja misalnya kalo mau kontribusi kasih rate yang objektif lah pertimbangkan aspek2 lain dalam film tersebut unsur2 intrinsik film Saya pribadi sangat tidak suka dengan orang2 yang tidak menghargai karya orang lain dengan melakukan penilaian hanya dari aspek2 tertentu tidak menilainya secara keseluruhan semua aspek yg ada dinilai serta memberikan penilaian secara obyektif bukannya berdasarkan emosi perasaan sendiri semata alias subyektif Expand","2018-03-12",2018
"30",10,"This is my favorite movie of all time Even though i like the book better the movie did justice to the story line And hats off to Marlon Brando and Al Pachino","2018-02-21",2018
"31",10,"100 100 Best Crime Mafia movie there is Best movie there is even The Godfather will be remembered as the movie you need to watch if you want to be a director cinematographer or scriptwriter This movie is something truly amazing","2018-02-21",2018
"32",8,"This review contains spoilers click expand to view Its a fantastic story with amazing performances but there are to many side stories and an expectation to have knowledge of multiple characters within the first watch of the movie Its 3 hr run time is unjust and this movie easily could have been 30 min shorter if they removed pointless filler and the scenes where Mikey is in Italy It is a great film and definitely worth a watch Expand","2018-02-15",2018
"33",10,"This film tells the trajectory of the Corleone family and its leader the godfather Don Vito Corleone Rich powerful and socially well placed this family leads one of the most important criminal cartels in New York as one of the Mafia sThis film tells the trajectory of the Corleone family and its leader the godfather Don Vito Corleone Rich powerful and socially well placed this family leads one of the most important criminal cartels in New York as one of the Mafia s five families Inadvertently drawn into a war with another family the Corleone s will throughout the film showing their human side as well as they will be able of the most cruel and vindictive acts Directed by Francis Ford Coppola this film needs no introduction It s the cinema adaptation of a novel by Mario Puzo who collaborated in the writing of the script which is one of the best scripts of twentieth century cinema In addition to this director and this script we should highlight the cast full of stars Marlon Brando Al Pacino Robert Duvall Diane Keaton and others who gave us an offer we cannot refuse a masterpiece that anyone should watch at least once If there is a movie where there is no possible negative note is this the suspense is permanent the Nino Rota s soundtrack is unforgettable and even the light contributes to the heavy and gloomy atmosphere that makes us wait for the moment we ll hear the next gun shots Winner of three Oscars Best Picture Best Leading Actor and Best Adapted Screenplay five Golden Globes Best Film Best Leading Actor Drama Best Screenplay Best Original Score and Best Director and a BAFTA Best Soundtrack this film received several other nominations and awards and is considered by many the best gangsters movie ever and one of the best films of the twentieth century Those who love good cinema must see this film Expand","2018-02-12",2018
"34",9,"The movie doesn t start out great mainly just character introductions telling us about what type of people they are and their relations with the mafia After that though the plot kicks in and it really gets going the violence is menacing The movie doesn t start out great mainly just character introductions telling us about what type of people they are and their relations with the mafia After that though the plot kicks in and it really gets going the violence is menacing the story is engaging and Al Pacino s character development is wonderful Basically if you re willing to get passed the first thirty minutes or so it s a great watch Expand","2018-01-16",2018
"35",9,"Unexpected death constantly interrupted by elegant music and scenes of rose garden It is a little bit annoying how dumb women in this movie appear to be","2018-01-16",2018
"36",8,"The film serves as a teleport into the American Italian criminal underworld of New York during the 1940s and 1950s We are introduced to a world of trust and mistrust where all involved have to have eyes in the back of their head to survive The film serves as a teleport into the American Italian criminal underworld of New York during the 1940s and 1950s We are introduced to a world of trust and mistrust where all involved have to have eyes in the back of their head to survive Brando is an iconic patriarch of the Corleone family whose son Michael played by Pacino becomes inevitably embroyled in the battle of wits to protect his family s interests Expand","2018-01-08",2018
"37",10,"There s only one word to discribe this movie MASTERPIECE It s just perfect in every way a true American Classic","2018-01-04",2018
"38",10,"this is a best movie ever one of the best movie ever very recommended movie to watch and to learning","2017-12-30",2017
"39",10,"If I have to choose one American film to see before an apocalypse it has to be this one Probably the Greatest film ever made and Mr Marlon Brando s last epic role","2017-12-23",2017
"40",9,"Yes it is one of the all time greats even if it is not very inspiring and presents a fairly dark view of life Puzo and Coppola make us feel sympathy for the Corleones yes they are gangsters and killers but they only kill those whoYes it is one of the all time greats even if it is not very inspiring and presents a fairly dark view of life Puzo and Coppola make us feel sympathy for the Corleones yes they are gangsters and killers but they only kill those who want to kill them They refuse to get into heroin distribution preferring to stick with the supposedly harmless businesses of gambling and prostitution and this is what leads to a gang war They are mindful of their place in society and are respected in their community Some great male acting here Caan Duvall Brando Sterling Hayden too as a crooked police captain I supposed I didn t totally buy Michael s transformation from rejecting the family business to becoming its leader it just seemed like he wanted something else Expand","2017-12-21",2017
"41",10,"I dare Hollywood not to remake one of the most important movies that still can be talked for a generation The Godfather the Citizen Kane of Gangster movies and of course the J R Ewing of American cinema","2017-12-04",2017
"42",3,"I m not going to try and insult audiences who have loved this film for over 40 years by telling you this is a bad film it was just never meant for me I personally found it to be one of the most intensely boring films I have seen in aI m not going to try and insult audiences who have loved this film for over 40 years by telling you this is a bad film it was just never meant for me I personally found it to be one of the most intensely boring films I have seen in a while I suppose it s the genre I have a problem with crime and gangster films seldom interest me This one is no different Expand","2017-11-14",2017
"43",10,"Marlon Brando is the true Godfather As much as people say that the second movie was better I disagree This right here is pure genius The sequel was good don t get me wrong but Al Pacino simply doesn t carry the movie as well as BrandoMarlon Brando is the true Godfather As much as people say that the second movie was better I disagree This right here is pure genius The sequel was good don t get me wrong but Al Pacino simply doesn t carry the movie as well as Brando does No need to say any more This movie has turned 45 years this year and most people already know it But if you re one of those who never saw it please do Your view of quality cinema will inevitably be changed the bar is set high with this one Expand","2017-11-06",2017
"44",10,"The Godfather 1972 is a very classical and astonishing movie that it is considered to be one of the best movies of all times Francis Ford Coppola made a wonderful movie with Al Pacino and Marlon Brando in it","2017-10-31",2017
"45",10,"One of the most brutal and moving chronicles of American life ever designed within the limits of popular entertainment Brando made Don Vito something we rarely see in movies a tragicomic villain hero a vulnerable hood","2017-10-28",2017
"46",9,"The Godfather is routinely considered one of the greatest films of all time for good reason Francis Ford Coppola shot 90 hours of footage whittling it down in the editing room to 3 hours of run time turning what the studio expected to The Godfather is routinely considered one of the greatest films of all time for good reason Francis Ford Coppola shot 90 hours of footage whittling it down in the editing room to 3 hours of run time turning what the studio expected to be a pulpy gangster flick into a soaring epic Brando and Pacino and Caan and Duvall and Shire and Cazale and Keaton all get well deserved credit for lending their talents to the film But make no mistake it s Coppola that makes this marionette puppet dance His screenplay written alongside Mario Puzo is masterful His camerawork throughout the movie is ingenious And his editing of the film is legendary Sure a lot of people consider The Godfather Part II to be on equal footing but I ll go to my grave arguing that the original was the purer and more compelling picture between the two Expand","2017-06-09",2017
"47",10,"It s difficult to truly score a movie like this mostly because you have to assign full round numbers I was not sure if this is truly a 10 or more like a 9 7 or something like that but what it s definitely true is the fact that this movieIt s difficult to truly score a movie like this mostly because you have to assign full round numbers I was not sure if this is truly a 10 or more like a 9 7 or something like that but what it s definitely true is the fact that this movie is a masterpiece done with the utmost care and ability and that it represents the best that can be offered in the big screen With a cast that can be said the best ever some of the most recognizable lines and tropes of cinema iconic sets and scenes a music score that makes you feel and relive the scenes as you are listening and a conclusion that even without the sequels feels like a full and total emotional and deep story with characters so real that they almost leap out of the screen Mr Coppola is truly to be commended for creating such and incredible and fascinating ride Recommending this movie is truly an offer that can t be refused A must watch for any person that even considers a moviegoer Extraordinary Expand","2017-05-28",2017
"48",10,"Reguarded as THE Greatest Movie of all Time Movie That Everyone Has To Watch This Cinematic Masterpiece Tells a Story of Corleone Family and Their Involment in the Mafia","2017-04-11",2017
"49",10,"This review contains spoilers click expand to view This film is simply a classic look at Brando the only disappointment for me is that this is the only film he features in It is the making of Al Pacino he graces the screen the Godfather perverts Pacino into the dark side but the process proceeds to ebb away at him Robert Duval sits in the back ground but his loyalty to the family shines through he doesn t win best supporting for this but easily could have Quite frankly watch this film a few times eventually all the detail soaks in It really is one of the best of all time once you ve seen this watch the other two they all for me are classics learn from them and enjoy Expand","2017-03-21",2017
"50",10,"El padrino es una de las mejores películas que he visto nunca Absolutamente en todas las facetas la primera hora del film es absolutamente sensacional En mi opinión después del momento naranjas baja y durante el resto del largometrajeEl padrino es una de las mejores películas que he visto nunca Absolutamente en todas las facetas la primera hora del film es absolutamente sensacional En mi opinión después del momento naranjas baja y durante el resto del largometraje no estuve alucinado como con ese principio en cualquier caso obra maestra En esta película de Coppola somos testigos de una de las mejores interpretaciones de la historia del cine Marlon Brando y su Don Vito Corleone es absolutamente legendario me atrevería a decir que engrisece a todos los demás Entre ellos un maravilloso Al Pacino En conclusión es una película que me ha costado ver pero que es de obligado visionado es una maravilla Y sí he tenido la oportunidad de verla 35 después de su estreno en cine Gracias a cine Palafox Le haré una oferta que no podrá rechazar Don Vito Corleone Expand","2017-02-25",2017
"51",10,"This review contains spoilers click expand to view The Godfather is a movie that amazes you It is told perfectly and it is one of the best movies of all time It was revolutionary and made to captivate audiences everyone Expand","2017-02-05",2017
"52",10,"Perfection from start to finish Well actually not quite perfection There s a bit where Sonny punches Carlo Rizzi and you can clearly see there s about a foot of fresh air between the Sonny s fist and Carlo s face And Officer McCluskyPerfection from start to finish Well actually not quite perfection There s a bit where Sonny punches Carlo Rizzi and you can clearly see there s about a foot of fresh air between the Sonny s fist and Carlo s face And Officer McClusky blinks when he s supposed to be dead Apart from that perfection That simple that complicated Expand","2017-01-09",2017
"53",8,"J avais dû voir ce film en diagonale ou alors je ne m en rappelais plus les privilèges de l âge et tout ce que j avais en tête c était l incroyable numéro de Marlon Brando avec ses bajoues sa voix de vieillard asthmatique et sa diction J avais dû voir ce film en diagonale ou alors je ne m en rappelais plus les privilèges de l âge et tout ce que j avais en tête c était l incroyable numéro de Marlon Brando avec ses bajoues sa voix de vieillard asthmatique et sa diction son phrasé traînant ses mimiques ou plutôt sa mimique particulière cette moue perpétuelle qui le fait ressembler à Droopy alors qu il parle de respect de service et d offre Le début du film m a replongé illico dans ce qui paraît une satire du mafieux archétypal le mafioso fondateur le patriarche de sa tribu en un mot le parrain Drôle donc hilarant à se taper le cul par terre puis les minutes s égrènent le personnage se précise et les heures passant oui presque trois plombes entières le bousin la stature de Brando imposante s impose d elle même on ne rit plus on se tait et on admire On respecte A posteriori Brando apparaît alors comme le seul acteur capable d imposer un tel respect à son rôle et à le rendre en fin de compte aussi charismatique qu humain Bien entendu le reste de la distribution n est pas en reste avec sa pléthore de jeunes stars dont Pacino et Caan et ses rôles secondaires solides comme l indispensable Robert Duvall par exemple La mise en scène de Coppola s impose également d elle même malgré sa tendance à s étirer un peu trop elle demeure tirée au cordeau l ensemble est cadré avec soin et monté avec intelligence Bien entendu Le Parrain ne serait pas ce qu il est une histoire de famille et de fureur sans la musique enquiquinante de Nino Rota habituellement abonné aux fariboles de Fellini mais qui livre et module ici deux thèmes nostalgiques et mélancoliques à l envi Le film a donc bien vieilli et ne vieillira plus et fait partie malgré ses tics des classiques Expand","2017-01-06",2017
"54",10,"Realmente una maravilla a todo nivel más que una adaptación de una novela es una creación cinematográfica en sí misma dada la participación de Mario Puzo Merecida toda la gloria que tiene La música se lleva buena parte del mérito dadaRealmente una maravilla a todo nivel más que una adaptación de una novela es una creación cinematográfica en sí misma dada la participación de Mario Puzo Merecida toda la gloria que tiene La música se lleva buena parte del mérito dada la mística y magia que le aporta Expand","2016-12-14",2016
"55",10,"A masterpiece How can the Earth continue without Coppola s The Godfather One of the most iconic films ever talked about worldwide and acclaimed well by everybody it s more fun to talk about it","2016-12-06",2016
"56",10,"Absolutely positively the greatest movie ever made Every frame is perfection from start to finish It will never be bettered There is nothing more to add","2016-11-13",2016
"57",9,"PT BR Esse filme é simplesmente obrigatório na lista de filmes assistidos de qualquer pessoa É um dos melhores filmes já feitos e até hoje consegue se segurar qualquer nota abaixo de 9 para esse filme não basta eu só dou um nove pois a PT BR Esse filme é simplesmente obrigatório na lista de filmes assistidos de qualquer pessoa É um dos melhores filmes já feitos e até hoje consegue se segurar qualquer nota abaixo de 9 para esse filme não basta eu só dou um nove pois a primeira vez que eu vi esse filme achei o seu roteiro meio confuso e somente uma segunda vez vendo o filme consegue compreender totalmente a história Expand","2016-07-25",2016
"58",9,"The godfather reflects what is a movie with a solid script the best movie of crime the scenes of shots are just in the most appropriate moment Francis Ford Coppola directs the best movie of the history apart from the great distribution ofThe godfather reflects what is a movie with a solid script the best movie of crime the scenes of shots are just in the most appropriate moment Francis Ford Coppola directs the best movie of the history apart from the great distribution of luxury that they have Expand","2016-06-30",2016
"59",10,"It doesn t really matter how I feel about this movie It s over 40 years old and it is directed by one of the most infamous criminal drama movie directors of all time I still think part 2 is better though Part three is the worst movie ever made","2016-05-26",2016
"60",10,"Like Babe Ruth is to baseball like John Steinbeck is to writing their is no doubt about it The Godfather is the greatest film of all time Never before have we seen performances so stellar by Marlon Brando Al Pacino James Caan RobertLike Babe Ruth is to baseball like John Steinbeck is to writing their is no doubt about it The Godfather is the greatest film of all time Never before have we seen performances so stellar by Marlon Brando Al Pacino James Caan Robert Duvall and everyone else The Godfather has little life lessons everywhere Along with an engaging plot that just completes the most critically acclaimed film of all time The Godfather is Francis Ford Coppola s masterpiece Expand","2016-04-17",2016
"61",10,"Incredible classic full of thrilling moments and extense great soundtrack Marlon Brando performance is stunning from start to finish and mixing it with a perfect plot of the growing kid which Michael Al Pacino is to the family CorleoneIncredible classic full of thrilling moments and extense great soundtrack Marlon Brando performance is stunning from start to finish and mixing it with a perfect plot of the growing kid which Michael Al Pacino is to the family Corleone gives the feeling of one of the best cinematography can offer 10 10 Expand","2016-04-10",2016
